student_id,student_name,study_hours,attendance,sleep_hours,internet_usage,assignments_completed,previous_score
1,Aarav Pawar,1,68,7.8,1.3,3,82
2,Aditi Khan,8,81,5.8,2.7,2,89
3,Aditya Kale,7,87,5.1,5.2,5,63
4,Akash Gaikwad,5,70,6.2,3.9,3,69
5,Akshay Desai,5,91,5.6,5.5,7,88
6,Aman Dhumal,9,86,6.6,5.1,5,79
7,Amit Malik,1,66,8.9,6.5,10,93
8,Ananya Ingale,7,98,5.7,1.5,3,94
9,Aniket Singh,3,61,6.3,4.1,4,44
10,Anjali Shinde,1,86,7.9,7,8,53
11,Arjun Naik,6,78,7,3.5,8,79
12,Aryan Kadam,10,86,5.2,4.5,5,45
13,Ashish Lokhande,8,91,5.6,1.2,10,44
14,Ayush Roy,8,88,8.7,2.6,9,47
15,Bhavna Borkar,8,86,5.4,4.2,7,44
16,Chetan Gupta,8,94,7.5,3.8,8,77
17,Deepak Chavan,6,88,8.2,6,6,55
18,Deepika Thakur,2,93,6.1,5.3,6,92
19,Dhruv Gawande,9,76,7.9,7.2,6,45
20,Divya Salve,5,68,5.7,7,9,65
21,Gaurav Das,6,69,6.1,2.7,2,77
22,Isha Mane,4,85,6.2,1.1,2,60
23,Karan Joshi,2,81,9,7,6,80
24,Kavya More,10,63,5.9,3.3,7,87
25,Kiran Raut,8,68,5.5,3.4,3,75
26,Kunal Sawant,7,99,8.7,2.1,7,73
27,Manish Rathod,5,89,5.6,5.9,2,72
28,Meera Iyer,9,90,8.5,3,4,95
29,Mohit Pandey,6,68,7.6,2.2,6,83
30,Neha Verma,5,62,7.3,4.5,2,43
31,Nikhil Kulkarni,5,71,8,6.3,7,83
32,Nisha Agrawal,3,95,7.9,2.9,6,49
33,Pallavi Suryawanshi,1,80,5.4,6.1,7,88
34,Pankaj Chaudhary,6,92,9,4.2,6,58
35,Pooja Reddy,9,79,8.8,3.8,8,78
36,Prakash Dubey,1,80,8.6,3.5,7,81
37,Priya Patil,9,84,7.5,2,7,59
38,Rahul Deshmukh,9,99,7.1,3.3,3,93
39,Raj Mehta,3,77,7.1,7.2,8,69
40,Rakesh Wagh,7,84,5.1,1.7,3,63
41,Riya Yadav,2,97,7,7.7,2,67
42,Rohan Nair,8,75,7.5,1.8,10,57
43,Rohit Saxena,8,94,7.6,3.5,3,46
44,Sachin Sharma,4,81,6.3,5.2,3,94
45,Sakshi Jadhav,1,96,6.9,6.9,4,85
46,Sameer Mishra,10,79,7.5,2,10,85
47,Sana Bhosale,5,85,6.7,2,9,91
48,Sanjay Tiwari,9,73,8.8,5.4,8,74
49,Sanya Pande,7,86,7.8,3,3,95
50,Shivam Kapoor,8,73,5,5.5,7,95
51,Shraddha Pawar,8,84,5.1,6.7,9,53
52,Shreya Khan,2,92,7.8,1.5,5,64
53,Sneha Kale,4,77,6.7,6.9,4,45
54,Sonali Gaikwad,5,77,8.4,1.3,9,79
55,Sonal Desai,5,73,5.7,7.3,3,46
56,Sourabh Dhumal,1,89,5.1,7.8,10,82
57,Tanmay Malik,6,84,6.6,5.7,6,85
58,Tanya Ingale,2,81,7.9,7.9,8,63
59,Varun Singh,8,61,8.9,6.8,5,75
60,Vikas Shinde,7,64,8.5,1.3,8,93
61,Vijay Naik,10,60,6.9,1,10,82
62,Vishal Kadam,8,94,8.3,1.1,6,64
63,Yash Lokhande,4,94,5.3,4.2,3,90
64,Yogesh Roy,10,62,7.3,5.4,2,42
65,Zoya Borkar,5,61,8.7,4.4,10,52
66,Aarav Gupta,4,92,6.6,5.7,10,58
67,Aditi Chavan,10,81,8.8,4.1,7,60
68,Aditya Thakur,4,72,5.9,1.3,2,77
69,Akash Gawande,1,85,5.4,2.6,9,84
70,Akshay Salve,5,69,7.1,7.9,6,42
71,Aman Das,8,68,8.6,3.4,4,54
72,Amit Mane,2,75,6.2,3.3,5,85
73,Ananya Joshi,5,96,8.2,2.1,10,68
74,Aniket More,2,91,5.7,7.9,8,57
75,Anjali Raut,7,67,8,2.6,7,64
76,Arjun Sawant,5,83,7.2,5.5,8,73
77,Aryan Rathod,4,96,5.7,1.3,9,73
78,Ashish Iyer,3,99,7.9,1.5,7,86
79,Ayush Pandey,6,91,7.9,6,4,95
80,Bhavna Verma,7,65,7.1,5.4,2,85
81,Chetan Kulkarni,10,69,5.9,5.8,3,45
82,Deepak Agrawal,5,68,5.5,2.6,4,63
83,Deepika Suryawanshi,2,66,8.8,7.9,8,67
84,Dhruv Chaudhary,9,67,7.6,4.9,2,75
85,Divya Reddy,7,72,8.2,7.8,3,93
86,Gaurav Dubey,8,82,7.8,2.1,10,65
87,Isha Patil,1,76,8.3,3.8,5,59
88,Karan Deshmukh,4,77,5.6,3.3,3,90
89,Kavya Mehta,8,70,7,6.3,9,81
90,Kiran Wagh,9,66,7.7,6.2,10,65
91,Kunal Yadav,5,100,5.4,4.4,6,92
92,Manish Nair,9,84,5.6,1.1,3,56
93,Meera Saxena,9,69,7.5,2.2,7,53
94,Mohit Sharma,4,93,8.5,1.4,9,41
95,Neha Jadhav,9,94,7.6,6.9,10,44
96,Nikhil Mishra,3,99,5.1,3,7,88
97,Nisha Bhosale,3,66,8.9,1.8,10,44
98,Pallavi Tiwari,7,86,5.6,3.5,9,82
99,Pankaj Pande,7,100,5.9,1.5,3,44
100,Pooja Kapoor,2,93,8.9,7.9,7,52
101,Prakash Pawar,9,69,8.1,3.2,7,59
102,Priya Khan,2,96,8.7,7.5,8,52
103,Rahul Kale,9,77,8.2,5.8,6,47
104,Raj Gaikwad,1,80,7.6,5,8,95
105,Rakesh Desai,8,82,6.1,4.3,7,62
106,Riya Dhumal,8,91,6.3,5.8,4,63
107,Rohan Malik,8,64,8.8,5.8,6,82
108,Rohit Ingale,7,82,8.4,1.1,10,91
109,Sachin Singh,5,93,6.4,7.4,9,56
110,Sakshi Shinde,8,82,6.5,3.6,7,65
111,Sameer Naik,3,71,6.2,3.5,4,66
112,Sana Kadam,8,62,6.3,3.8,3,54
113,Sanjay Lokhande,6,82,8.4,5.8,4,47
114,Sanya Roy,5,88,5,3.6,4,91
115,Shivam Borkar,6,82,6.7,3.6,10,79
116,Shraddha Gupta,6,100,8.8,1.4,6,78
117,Shreya Chavan,1,84,7.2,3.9,5,57
118,Sneha Thakur,2,80,6.8,2,9,76
119,Sonali Gawande,3,62,6.2,7,5,47
120,Sonal Salve,2,82,5.3,3.3,9,46
121,Sourabh Das,5,66,5.9,7.7,7,93
122,Tanmay Mane,7,89,5.4,5.8,4,52
123,Tanya Joshi,7,66,5.5,6.3,10,83
124,Varun More,5,97,5.7,7.6,8,55
125,Vikas Raut,9,72,6.2,2.7,10,76
126,Vijay Sawant,6,77,5,5,2,74
127,Vishal Rathod,1,65,8.8,1.3,4,80
128,Yash Iyer,8,68,5.5,1.7,4,93
129,Yogesh Pandey,6,97,6.5,3.6,8,63
130,Zoya Verma,7,71,8.5,5.8,9,88
131,Aarav Kulkarni,6,81,5.4,6.8,3,56
132,Aditi Agrawal,6,100,6.9,2.8,3,93
133,Aditya Suryawanshi,1,85,8.4,6.2,8,67
134,Akash Chaudhary,6,61,7.2,2.6,5,87
135,Akshay Reddy,8,74,5.8,1,8,86
136,Aman Dubey,4,75,7.9,1.4,2,75
137,Amit Patil,7,71,7.7,5.1,6,93
138,Ananya Deshmukh,1,69,6.4,4.5,2,77
139,Aniket Mehta,4,80,5.2,2.9,10,73
140,Anjali Wagh,5,75,5,1,3,54
141,Arjun Yadav,10,72,8.3,5,3,61
142,Aryan Nair,3,76,6.3,6.7,2,40
143,Ashish Saxena,3,74,5.6,1.5,3,80
144,Ayush Sharma,5,69,7.1,6.2,6,73
145,Bhavna Jadhav,10,78,8.7,5.4,7,79
146,Chetan Mishra,9,98,5,4.4,10,75
147,Deepak Bhosale,1,80,5.2,1.3,9,53
148,Deepika Tiwari,3,84,6.7,7.5,2,95
